              k             kx             ky         energy
              k             kx             ky            wf1            wf2            wf3            wf4            wf5            wf6            wf7            wf8
         -2.827         -0.000         -2.827        -15.326        -12.690         -8.199         -2.083          2.483          9.527         10.907         19.668
         -2.822         -0.000         -2.822        -15.318        -12.700         -8.203         -2.072          2.468          9.529         10.906         19.676
         -2.817         -0.000         -2.817        -15.311        -12.710         -8.208         -2.061          2.453          9.531         10.904         19.684
         -2.812         -0.000         -2.812        -15.303        -12.720         -8.212         -2.050          2.437          9.532         10.903         19.692
         -2.806         -0.000         -2.806        -15.296        -12.730         -8.217         -2.040          2.422          9.534         10.901         19.699
         -2.801         -0.000         -2.801        -15.289        -12.740         -8.221         -2.029          2.407          9.536         10.900         19.707
         -2.796         -0.000         -2.796        -15.281        -12.750         -8.225         -2.018          2.392          9.537         10.898         19.715
         -2.791         -0.000         -2.791        -15.274        -12.759         -8.230         -2.007          2.377          9.539         10.896         19.722
         -2.786         -0.000         -2.786        -15.267        -12.769         -8.234         -1.997          2.362          9.540         10.895         19.730
         -2.780         -0.000         -2.780        -15.259        -12.779         -8.238         -1.986          2.347          9.542         10.893         19.737
         -2.775         -0.000         -2.775        -15.252        -12.788         -8.243         -1.975          2.332          9.544         10.891         19.745
         -2.770         -0.000         -2.770        -15.245        -12.798         -8.247         -1.965          2.317          9.545         10.889         19.752
         -2.765         -0.000         -2.765        -15.238        -12.807         -8.251         -1.954          2.303          9.547         10.888         19.760
         -2.759         -0.000         -2.759        -15.230        -12.816         -8.255         -1.944          2.288          9.549         10.886         19.767
         -2.754         -0.000         -2.754        -15.223        -12.826         -8.259         -1.933          2.274          9.550         10.884         19.775
         -2.749         -0.000         -2.749        -15.216        -12.835         -8.264         -1.923          2.259          9.552         10.882         19.782
         -2.744         -0.000         -2.744        -15.209        -12.844         -8.268         -1.913          2.245          9.553         10.880         19.789
         -2.738         -0.000         -2.738        -15.202        -12.853         -8.272         -1.902          2.231          9.555         10.878         19.797
         -2.733         -0.000         -2.733        -15.195        -12.862         -8.276         -1.892          2.217          9.557         10.876         19.804
         -2.728         -0.000         -2.728        -15.188        -12.871         -8.280         -1.882          2.203          9.558         10.874         19.811
         -2.723         -0.000         -2.723        -15.181        -12.880         -8.284         -1.872          2.189          9.560         10.872         19.818
         -2.717         -0.000         -2.717        -15.174        -12.889         -8.288         -1.861          2.175          9.562         10.870         19.826
         -2.712         -0.000         -2.712        -15.167        -12.898         -8.292         -1.851          2.161          9.563         10.868         19.833
         -2.707         -0.000         -2.707        -15.160        -12.906         -8.296         -1.841          2.147          9.565         10.866         19.840
         -2.702         -0.000         -2.702        -15.153        -12.915         -8.300         -1.831          2.134          9.567         10.864         19.847
         -2.697         -0.000         -2.697        -15.147        -12.923         -8.304         -1.821          2.120          9.568         10.862         19.854
         -2.691         -0.000         -2.691        -15.140        -12.932         -8.308         -1.811          2.107          9.570         10.860         19.861
         -2.686         -0.000         -2.686        -15.133        -12.940         -8.312         -1.801          2.093          9.572         10.858         19.868
         -2.681         -0.000         -2.681        -15.126        -12.949         -8.315         -1.792          2.080          9.573         10.856         19.875
         -2.676         -0.000         -2.676        -15.120        -12.957         -8.319         -1.782          2.067          9.575         10.853         19.882
         -2.670         -0.000         -2.670        -15.113        -12.965         -8.323         -1.772          2.054          9.577         10.851         19.889
         -2.665         -0.000         -2.665        -15.107        -12.973         -8.327         -1.762          2.041          9.578         10.849         19.895
         -2.660         -0.000         -2.660        -15.100        -12.981         -8.331         -1.753          2.028          9.580         10.847         19.902
         -2.655         -0.000         -2.655        -15.094        -12.989         -8.334         -1.743          2.015          9.582         10.844         19.909
         -2.649         -0.000         -2.649        -15.087        -12.997         -8.338         -1.734          2.003          9.584         10.842         19.916
         -2.644         -0.000         -2.644        -15.081        -13.005         -8.342         -1.724          1.990          9.585         10.839         19.922
         -2.639         -0.000         -2.639        -15.074        -13.012         -8.345         -1.715          1.978          9.587         10.837         19.929
         -2.634         -0.000         -2.634        -15.068        -13.020         -8.349         -1.706          1.965          9.589         10.835         19.936
         -2.628         -0.000         -2.628        -15.062        -13.028         -8.352         -1.696          1.953          9.591         10.832         19.942
         -2.623         -0.000         -2.623        -15.056        -13.035         -8.356         -1.687          1.941          9.592         10.830         19.949
         -2.618         -0.000         -2.618        -15.049        -13.042         -8.360         -1.678          1.929          9.594         10.827         19.955
         -2.613         -0.000         -2.613        -15.043        -13.050         -8.363         -1.669          1.917          9.596         10.825         19.961
