              k             kx             ky         energy
              k             kx             ky            wf1            wf2            wf3            wf4            wf5            wf6            wf7            wf8
          2.456          0.000          2.456        -15.341        -12.787         -7.938         -2.220          2.680          9.245         11.421         -0.374
          2.461          0.000          2.461        -15.339        -12.791         -7.936         -2.219          2.679          9.242         11.427         -0.208
          2.466          0.000          2.466        -15.338        -12.795         -7.934         -2.218          2.678          9.239         11.433          0.373
          2.471          0.000          2.471        -15.336        -12.798         -7.931         -2.218          2.677          9.237         11.439         -0.207
          2.477          0.000          2.477        -15.335        -12.802         -7.929         -2.217          2.677          9.234         11.446         -0.371
          2.482          0.000          2.482        -15.333        -12.805         -7.926         -2.217          2.676          9.231         11.452         -0.207
          2.487          0.000          2.487        -15.332        -12.809         -7.924         -2.216          2.676          9.228         11.458         -0.370
          2.492          0.000          2.492        -15.330        -12.812         -7.922         -2.216          2.675          9.226         11.464         -0.207
          2.498          0.000          2.498        -15.329        -12.815         -7.919         -2.216          2.675          9.223         11.470          0.368
          2.503          0.000          2.503        -15.328        -12.818         -7.917         -2.216          2.675          9.220         11.476         -0.207
          2.508          0.000          2.508        -15.327        -12.821         -7.914         -2.216          2.675          9.218         11.482          0.367
          2.513          0.000          2.513        -15.326        -12.824         -7.911         -2.216          2.675          9.215         11.488         -0.207
          2.519          0.000          2.519        -15.325        -12.827         -7.909         -2.216          2.675          9.213         11.494         -0.366
          2.524          0.000          2.524        -15.324        -12.829         -7.906         -2.216          2.675          9.210         11.499         -0.206
          2.529          0.000          2.529        -15.323        -12.832         -7.904         -2.216          2.676          9.207         11.505          0.364
          2.534          0.000          2.534        -15.322        -12.834         -7.901         -2.217          2.676          9.205         11.511         -0.206
          2.539          0.000          2.539        -15.321        -12.837         -7.898         -2.217          2.677          9.202         11.517          0.363
          2.545          0.000          2.545        -15.321        -12.839         -7.896         -2.218          2.678          9.200         11.523         -0.206
          2.550          0.000          2.550        -15.320        -12.841         -7.893         -2.218          2.679          9.197         11.528          0.361
          2.555          0.000          2.555        -15.320        -12.843         -7.890         -2.219          2.680          9.195         11.534         -0.206
          2.560          0.000          2.560        -15.319        -12.845         -7.888         -2.220          2.681          9.192         11.540          0.360
          2.566          0.000          2.566        -15.319        -12.847         -7.885         -2.221          2.682          9.190         11.545         -0.205
          2.571          0.000          2.571        -15.319        -12.849         -7.882         -2.222          2.683          9.187         11.551          0.358
          2.576          0.000          2.576        -15.318        -12.850         -7.879         -2.223          2.685          9.185         11.557         -0.205
          2.581          0.000          2.581        -15.318        -12.852         -7.877         -2.224          2.687          9.182         11.562          0.357
          2.587          0.000          2.587        -15.318        -12.853         -7.874         -2.225          2.688          9.180         11.568         -0.205
          2.592          0.000          2.592        -15.318        -12.854         -7.871         -2.227          2.690          9.177         11.573          0.355
          2.597          0.000          2.597        -15.318        -12.855         -7.868         -2.228          2.692          9.175         11.579         -0.205
          2.602          0.000          2.602        -15.319        -12.856         -7.865         -2.229          2.694          9.173         11.584          0.354
          2.608          0.000          2.608        -15.319        -12.857         -7.862         -2.231          2.697          9.170         11.589         -0.205
          2.613          0.000          2.613        -15.319        -12.858         -7.860         -2.233          2.699          9.168         11.595          0.352
          2.618          0.000          2.618        -15.319        -12.859         -7.857         -2.234          2.702          9.165         11.600         -0.204
          2.623          0.000          2.623        -15.320        -12.859         -7.854         -2.236          2.704          9.163         11.605          0.351
          2.628          0.000          2.628        -15.320        -12.860         -7.851         -2.238          2.707          9.161         11.611         -0.204
          2.634          0.000          2.634        -15.321        -12.860         -7.848         -2.240          2.710          9.158         11.616          0.349
          2.639          0.000          2.639        -15.322        -12.860         -7.845         -2.242          2.713          9.156         11.621         -0.204
          2.644          0.000          2.644        -15.323        -12.860         -7.842         -2.244          2.716          9.154         11.626          0.348
          2.649          0.000          2.649        -15.323        -12.860         -7.839         -2.246          2.719          9.151         11.631         -0.204
          2.655          0.000          2.655        -15.324        -12.860         -7.836         -2.249          2.723          9.149         11.636          0.346
          2.660          0.000          2.660        -15.325        -12.860         -7.833         -2.251          2.726          9.147         11.641         -0.204
          2.665          0.000          2.665        -15.326        -12.860         -7.830         -2.253          2.730          9.144         11.646          0.344
          2.670          0.000          2.670        -15.328        -12.859         -7.827         -2.256          2.733          9.142         11.651         -0.203
          2.676          0.000          2.676        -15.329        -12.859         -7.824         -2.259          2.737          9.140         11.656          0.343
          2.681          0.000          2.681        -15.330        -12.858         -7.820         -2.261          2.741          9.138         11.661         -0.203
          2.686          0.000          2.686        -15.331        -12.857         -7.817         -2.264          2.745          9.135         11.666          0.341
          2.691          0.000          2.691        -15.333        -12.856         -7.814         -2.267          2.749          9.133         11.671         -0.203
          2.697          0.000          2.697        -15.334        -12.855         -7.811         -2.270          2.754          9.131         11.676          0.340
          2.702          0.000          2.702        -15.336        -12.854         -7.808         -2.273          2.758          9.129         11.681         -0.203
          2.707          0.000          2.707        -15.338        -12.853         -7.805         -2.276          2.763          9.126         11.685          0.338
          2.712          0.000          2.712        -15.339        -12.851         -7.801         -2.279          2.768          9.124         11.690         -0.203
          2.717          0.000          2.717        -15.341        -12.850         -7.798         -2.282          2.772          9.122         11.695          0.337
          2.723          0.000          2.723        -15.343        -12.848         -7.795         -2.286          2.777          9.120         11.699         -0.203
          2.728          0.000          2.728        -15.345        -12.846         -7.792         -2.289          2.782          9.118         11.704          0.335
          2.733          0.000          2.733        -15.347        -12.844         -7.788         -2.293          2.788          9.116         11.709         -0.202
          2.738          0.000          2.738        -15.349        -12.842         -7.785         -2.296          2.793          9.113         11.713          0.334
          2.744          0.000          2.744        -15.352        -12.840         -7.782         -2.300          2.798          9.111         11.718         -0.202
          2.749          0.000          2.749        -15.354        -12.838         -7.779         -2.304          2.804          9.109         11.722          0.332
          2.754          0.000          2.754        -15.356        -12.836         -7.775         -2.308          2.809          9.107         11.726         -0.202
          2.759          0.000          2.759        -15.359        -12.833         -7.772         -2.311          2.815          9.105         11.731          0.330
          2.765          0.000          2.765        -15.361        -12.831         -7.768         -2.315          2.821          9.103         11.735         -0.202
          2.770          0.000          2.770        -15.364        -12.828         -7.765         -2.319          2.827          9.101         11.739          0.329
          2.775          0.000          2.775        -15.366        -12.825         -7.762         -2.324          2.833          9.099         11.744         -0.202
          2.780          0.000          2.780        -15.369        -12.823         -7.758         -2.328          2.839          9.096         11.748          0.327
          2.786          0.000          2.786        -15.372        -12.819         -7.755         -2.332          2.846          9.094         11.752         -0.201
          2.791          0.000          2.791        -15.375        -12.816         -7.751         -2.336          2.852          9.092         11.756          0.326
          2.796          0.000          2.796        -15.378        -12.813         -7.748         -2.341          2.859          9.090         11.760         -0.201
          2.801          0.000          2.801        -15.381        -12.810         -7.745         -2.345          2.866          9.088         11.764          0.324
          2.806          0.000          2.806        -15.384        -12.806         -7.741         -2.350          2.872          9.086         11.768         -0.201
          2.812          0.000          2.812        -15.387        -12.803         -7.738         -2.354          2.879          9.084         11.772          0.322
          2.817          0.000          2.817        -15.390        -12.799         -7.734         -2.359          2.886          9.082         11.776         -0.201
          2.822          0.000          2.822        -15.393        -12.795         -7.730         -2.364          2.894          9.080         11.780          0.321
          2.827          0.000          2.827        -15.396        -12.791         -7.727         -2.369          2.901          9.078         11.784         -0.201
          2.833          0.000          2.833        -15.400        -12.787         -7.723         -2.374          2.908          9.076         11.788          0.319
          2.838          0.000          2.838        -15.403        -12.783         -7.720         -2.379          2.916          9.074         11.791         -0.201
          2.843          0.000          2.843        -15.407        -12.779         -7.716         -2.384          2.923          9.072         11.795          0.318
          2.848          0.000          2.848        -15.410        -12.775         -7.713         -2.389          2.931          9.070         11.799         -0.201
          2.854          0.000          2.854        -15.414        -12.770         -7.709         -2.394          2.939          9.068         11.802          0.316
          2.859          0.000          2.859        -15.418        -12.766         -7.705         -2.399          2.947          9.066         11.806         -0.200
          2.864          0.000          2.864        -15.421        -12.761         -7.702         -2.405          2.955          9.064         11.809          0.314
          2.869          0.000          2.869        -15.425        -12.757         -7.698         -2.410          2.963          9.062         11.813         -0.200
          2.875          0.000          2.875        -15.429        -12.752         -7.694         -2.416          2.971          9.060         11.816          0.313
          2.880          0.000          2.880        -15.433        -12.747         -7.691         -2.421          2.980          9.058         11.820         -0.200
          2.885          0.000          2.885        -15.437        -12.742         -7.687         -2.427          2.988          9.056         11.823          0.311
          2.890          0.000          2.890        -15.441        -12.737         -7.683         -2.432          2.997          9.054         11.826         -0.200
          2.896          0.000          2.896        -15.445        -12.731         -7.680         -2.438          3.005          9.052         11.830          0.310
          2.901          0.000          2.901        -15.449        -12.726         -7.676         -2.444          3.014          9.050         11.833         -0.200
          2.906          0.000          2.906        -15.454        -12.721         -7.672         -2.450          3.023          9.048         11.836          0.308
          2.911          0.000          2.911        -15.458        -12.715         -7.668         -2.456          3.032          9.046         11.839         -0.200
          2.916          0.000          2.916        -15.462        -12.709         -7.664         -2.462          3.041          9.044         11.842          0.306
          2.922          0.000          2.922        -15.467        -12.704         -7.661         -2.468          3.050          9.042         11.845         -0.199
          2.927          0.000          2.927        -15.471        -12.698         -7.657         -2.474          3.060          9.040         11.848          0.305
          2.932          0.000          2.932        -15.476        -12.692         -7.653         -2.480          3.069          9.038         11.851         -0.199
          2.937          0.000          2.937        -15.480        -12.686         -7.649         -2.486          3.079          9.036         11.854          0.303
          2.943          0.000          2.943        -15.485        -12.680         -7.645         -2.492          3.088          9.034         11.857         -0.199
          2.948          0.000          2.948        -15.489        -12.674         -7.641         -2.499          3.098          9.032         11.860          0.301
          2.953          0.000          2.953        -15.494        -12.667         -7.638         -2.505          3.108          9.030         11.862         -0.199
          2.958          0.000          2.958        -15.499        -12.661         -7.634         -2.511          3.118          9.028         11.865          0.300
          2.964          0.000          2.964        -15.504        -12.654         -7.630         -2.518          3.128          9.026         11.868         -0.199
          2.969          0.000          2.969        -15.508        -12.648         -7.626         -2.524          3.138          9.024         11.870          0.298
          2.974          0.000          2.974        -15.513        -12.641         -7.622         -2.531          3.148          9.022         11.873         -0.199
          2.979          0.000          2.979        -15.518        -12.634         -7.618         -2.538          3.158          9.020         11.875          0.296
          2.985          0.000          2.985        -15.523        -12.628         -7.614         -2.544          3.169          9.018         11.878         -0.199
          2.990          0.000          2.990        -15.528        -12.621         -7.610         -2.551          3.179          9.016         11.880          0.295
          2.995          0.000          2.995        -15.533        -12.614         -7.606         -2.558          3.190          9.014         11.882         -0.199
          3.000          0.000          3.000        -15.538        -12.606         -7.602         -2.565          3.200          9.012         11.885          0.293
          3.005          0.000          3.005        -15.543        -12.599         -7.598         -2.572          3.211          9.010         11.887         -0.198
          3.011          0.000          3.011        -15.549        -12.592         -7.594         -2.579          3.222          9.008         11.889          0.291
          3.016          0.000          3.016        -15.554        -12.585         -7.590         -2.586          3.233          9.006         11.891         -0.198
          3.021          0.000          3.021        -15.559        -12.577         -7.586         -2.593          3.244          9.004         11.893          0.290
          3.026          0.000          3.026        -15.564        -12.570         -7.582         -2.600          3.255          9.002         11.895         -0.198
          3.032          0.000          3.032        -15.570        -12.562         -7.578         -2.607          3.267          9.000         11.897          0.288
          3.037          0.000          3.037        -15.575        -12.554         -7.574         -2.614          3.278          8.998         11.899         -0.198
          3.042          0.000          3.042        -15.580        -12.547         -7.570         -2.622          3.289          8.996         11.901          0.286
          3.047          0.000          3.047        -15.586        -12.539         -7.565         -2.629          3.301          8.994         11.903          0.198
          3.053          0.000          3.053        -15.591        -12.531         -7.561         -2.636          3.312          8.992         11.904          0.285
          3.058          0.000          3.058        -15.597        -12.523         -7.557         -2.644          3.324          8.990         11.906          0.198
          3.063          0.000          3.063        -15.602        -12.515         -7.553         -2.651          3.336          8.988         11.908          0.283
          3.068          0.000          3.068        -15.608        -12.506         -7.549         -2.659          3.348          8.986         11.909          0.198
          3.074          0.000          3.074        -15.614        -12.498         -7.545         -2.666          3.360          8.984         11.911          0.281
          3.079          0.000          3.079        -15.619        -12.490         -7.541         -2.674          3.372          8.982         11.912          0.198
          3.084          0.000          3.084        -15.625        -12.481         -7.536         -2.681          3.384          8.980         11.913          0.280
          3.089          0.000          3.089        -15.631        -12.473         -7.532         -2.689          3.396          8.978         11.915          0.197
          3.094          0.000          3.094        -15.636        -12.464         -7.528         -2.697          3.408          8.976         11.916          0.278
          3.100          0.000          3.100        -15.642        -12.456         -7.524         -2.705          3.421          8.974         11.917          0.197
          3.105          0.000          3.105        -15.648        -12.447         -7.519         -2.712          3.433          8.972         11.918          0.276
          3.110          0.000          3.110        -15.654        -12.438         -7.515         -2.720          3.446          8.970         11.919          0.197
          3.115          0.000          3.115        -15.659        -12.429         -7.511         -2.728          3.458          8.968         11.920          0.275
          3.121          0.000          3.121        -15.665        -12.421         -7.507         -2.736          3.471          8.966         11.921          0.197
          3.126          0.000          3.126        -15.671        -12.412         -7.502         -2.744          3.484          8.964         11.922          0.273
          3.131          0.000          3.131        -15.677        -12.402         -7.498         -2.752          3.497          8.962         11.923          0.197
          3.136          0.000          3.136        -15.683        -12.393         -7.494         -2.760          3.510          8.960         11.924          0.271
          3.142          0.000          3.142        -15.689        -12.384         -7.489         -2.768          3.523          8.958         11.924          0.197
  
         -3.142         -0.000         -3.142        -15.600        -12.672         -7.200         -2.768          3.523          8.727         12.733         17.560
         -3.136         -0.000         -3.136        -15.598        -12.675         -7.202         -2.765          3.518          8.728         12.733         17.562
         -3.131         -0.000         -3.131        -15.595        -12.679         -7.203         -2.762          3.514          8.729         12.732         17.565
         -3.126         -0.000         -3.126        -15.593        -12.682         -7.205         -2.760          3.509          8.730         12.731         17.567
         -3.121         -0.000         -3.121        -15.591        -12.685         -7.206         -2.757          3.505          8.731         12.730         17.570
         -3.115         -0.000         -3.115        -15.589        -12.688         -7.208         -2.754          3.501          8.731         12.729         17.573
         -3.110         -0.000         -3.110        -15.587        -12.691         -7.210         -2.752          3.497          8.732         12.728         17.576
         -3.105         -0.000         -3.105        -15.585        -12.694         -7.211         -2.749          3.493          8.733         12.726         17.579
         -3.100         -0.000         -3.100        -15.583        -12.696         -7.213         -2.747          3.489          8.734         12.725         17.582
         -3.094         -0.000         -3.094        -15.581        -12.699         -7.214         -2.745          3.485          8.735         12.724         17.585
         -3.089         -0.000         -3.089        -15.579        -12.701         -7.216         -2.742          3.481          8.736         12.722         17.588
         -3.084         -0.000         -3.084        -15.578        -12.703         -7.218         -2.740          3.478          8.737         12.720         17.591
         -3.079         -0.000         -3.079        -15.576        -12.706         -7.219         -2.738          3.474          8.737         12.719         17.594
         -3.074         -0.000         -3.074        -15.574        -12.708         -7.221         -2.736          3.471          8.738         12.717         17.597
         -3.068         -0.000         -3.068        -15.573        -12.710         -7.222         -2.734          3.468          8.739         12.715         17.600
         -3.063         -0.000         -3.063        -15.571        -12.712         -7.224         -2.732          3.465          8.740         12.713         17.603
         -3.058         -0.000         -3.058        -15.570        -12.713         -7.225         -2.730          3.462          8.741         12.711         17.607
         -3.053         -0.000         -3.053        -15.569        -12.715         -7.227         -2.728          3.459          8.742         12.709         17.610
         -3.047         -0.000         -3.047        -15.568        -12.716         -7.228         -2.727          3.456          8.743         12.707         17.613
         -3.042         -0.000         -3.042        -15.566        -12.718         -7.230         -2.725          3.454          8.744         12.704         17.617
         -3.037         -0.000         -3.037        -15.565        -12.719         -7.231         -2.723          3.451          8.744         12.702         17.620
         -3.032         -0.000         -3.032        -15.564        -12.720         -7.233         -2.722          3.449          8.745         12.700         17.624
         -3.026         -0.000         -3.026        -15.563        -12.721         -7.234         -2.720          3.446          8.746         12.697         17.627
         -3.021         -0.000         -3.021        -15.562        -12.722         -7.236         -2.719          3.444          8.747         12.695         17.631
         -3.016         -0.000         -3.016        -15.562        -12.723         -7.237         -2.718          3.442          8.748         12.692         17.634
         -3.011         -0.000         -3.011        -15.561        -12.724         -7.239         -2.716          3.440          8.749         12.689         17.638
         -3.005         -0.000         -3.005        -15.560        -12.724         -7.240         -2.715          3.438          8.750         12.686         17.642
         -3.000         -0.000         -3.000        -15.559        -12.725         -7.242         -2.714          3.436          8.751         12.683         17.646
         -2.995         -0.000         -2.995        -15.559        -12.725         -7.243         -2.713          3.434          8.752         12.680         17.649
         -2.990         -0.000         -2.990        -15.558        -12.725         -7.245         -2.712          3.433          8.753         12.677         17.653
         -2.985         -0.000         -2.985        -15.558        -12.726         -7.246         -2.711          3.431          8.754         12.674         17.657
         -2.979         -0.000         -2.979        -15.558        -12.726         -7.248         -2.710          3.430          8.754         12.671         17.661
         -2.974         -0.000         -2.974        -15.557        -12.725         -7.249         -2.710          3.429          8.755         12.667         17.665
         -2.969         -0.000         -2.969        -15.557        -12.725         -7.250         -2.709          3.428          8.756         12.664         17.669
         -2.964         -0.000         -2.964        -15.557        -12.725         -7.252         -2.708          3.427          8.757         12.660         17.673
         -2.958         -0.000         -2.958        -15.557        -12.724         -7.253         -2.708          3.426          8.758         12.657         17.677
         -2.953         -0.000         -2.953        -15.557        -12.724         -7.255         -2.707          3.425          8.759         12.653         17.681
         -2.948         -0.000         -2.948        -15.557        -12.723         -7.256         -2.707          3.424          8.760         12.650         17.685
         -2.943         -0.000         -2.943        -15.557        -12.722         -7.257         -2.706          3.424          8.761         12.646         17.689
         -2.937         -0.000         -2.937        -15.557        -12.721         -7.259         -2.706          3.423          8.762         12.642         17.693
         -2.932         -0.000         -2.932        -15.558        -12.720         -7.260         -2.706          3.423          8.763         12.638         17.698
         -2.927         -0.000         -2.927        -15.558        -12.719         -7.262         -2.706          3.423          8.764         12.634         17.702
         -2.922         -0.000         -2.922        -15.558        -12.718         -7.263         -2.706          3.423          8.765         12.630         17.706
         -2.916         -0.000         -2.916        -15.559        -12.717         -7.264         -2.706          3.423          8.766         12.626         17.710
         -2.911         -0.000         -2.911        -15.559        -12.715         -7.266         -2.706          3.423          8.767         12.621         17.715
         -2.906         -0.000         -2.906        -15.560        -12.713         -7.267         -2.706          3.423          8.768         12.617         17.719
         -2.901         -0.000         -2.901        -15.561        -12.712         -7.268         -2.706          3.423          8.769         12.613         17.723
         -2.896         -0.000         -2.896        -15.561        -12.710         -7.270         -2.706          3.424          8.770         12.608         17.728
         -2.890         -0.000         -2.890        -15.562        -12.708         -7.271         -2.707          3.424          8.771         12.604         17.732
         -2.885         -0.000         -2.885        -15.563        -12.706         -7.272         -2.707          3.425          8.772         12.599         17.737
         -2.880         -0.000         -2.880        -15.564        -12.704         -7.274         -2.708          3.426          8.773         12.594         17.741
         -2.875         -0.000         -2.875        -15.565        -12.701         -7.275         -2.708          3.427          8.774         12.590         17.746
         -2.869         -0.000         -2.869        -15.566        -12.699         -7.276         -2.709          3.428          8.775         12.585         17.750
         -2.864         -0.000         -2.864        -15.567        -12.696         -7.277         -2.709          3.429          8.776         12.580         17.755
         -2.859         -0.000         -2.859        -15.569        -12.694         -7.279         -2.710          3.430          8.777         12.575         17.760
         -2.854         -0.000         -2.854        -15.570        -12.691         -7.280         -2.711          3.431          8.779         12.570         17.764
         -2.848         -0.000         -2.848        -15.571        -12.688         -7.281         -2.712          3.433          8.780         12.565         17.769
         -2.843         -0.000         -2.843        -15.573        -12.685         -7.282         -2.713          3.434          8.781         12.560         17.774
         -2.838         -0.000         -2.838        -15.574        -12.682         -7.284         -2.714          3.436          8.782         12.555         17.778
         -2.833         -0.000         -2.833        -15.576        -12.679         -7.285         -2.715          3.437          8.783         12.549         17.783
         -2.827         -0.000         -2.827        -15.577        -12.676         -7.286         -2.716          3.439          8.784         12.544         17.788
         -2.822         -0.000         -2.822        -15.579        -12.672         -7.287         -2.717          3.441          8.785         12.539         17.792
         -2.817         -0.000         -2.817        -15.581        -12.669         -7.289         -2.719          3.443          8.786         12.533         17.797
         -2.812         -0.000         -2.812        -15.582        -12.665         -7.290         -2.720          3.446          8.787         12.528         17.802
         -2.806         -0.000         -2.806        -15.584        -12.661         -7.291         -2.721          3.448          8.788         12.522         17.807
         -2.801         -0.000         -2.801        -15.586        -12.658         -7.292         -2.723          3.450          8.789         12.516         17.812
         -2.796         -0.000         -2.796        -15.588        -12.654         -7.293         -2.724          3.453          8.791         12.511         17.817
         -2.791         -0.000         -2.791        -15.590        -12.650         -7.295         -2.726          3.455          8.792         12.505         17.822
         -2.786         -0.000         -2.786        -15.592        -12.645         -7.296         -2.728          3.458          8.793         12.499         17.826
         -2.780         -0.000         -2.780        -15.594        -12.641         -7.297         -2.729          3.461          8.794         12.493         17.831
         -2.775         -0.000         -2.775        -15.596        -12.637         -7.298         -2.731          3.464          8.795         12.487         17.836
         -2.770         -0.000         -2.770        -15.599        -12.632         -7.299         -2.733          3.467          8.796         12.481         17.841
         -2.765         -0.000         -2.765        -15.601        -12.628         -7.300         -2.735          3.470          8.798         12.475         17.846
         -2.759         -0.000         -2.759        -15.603        -12.623         -7.302         -2.737          3.473          8.799         12.469         17.851
         -2.754         -0.000         -2.754        -15.606        -12.618         -7.303         -2.739          3.476          8.800         12.463         17.856
         -2.749         -0.000         -2.749        -15.608        -12.614         -7.304         -2.741          3.480          8.801         12.456         17.861
         -2.744         -0.000         -2.744        -15.611        -12.609         -7.305         -2.743          3.483          8.802         12.450         17.866
         -2.738         -0.000         -2.738        -15.613        -12.604         -7.306         -2.746          3.487          8.803         12.444         17.871
         -2.733         -0.000         -2.733        -15.616        -12.599         -7.307         -2.748          3.491          8.805         12.437         17.877
         -2.728         -0.000         -2.728        -15.618        -12.593         -7.308         -2.750          3.494          8.806         12.431         17.882
         -2.723         -0.000         -2.723        -15.621        -12.588         -7.309         -2.753          3.498          8.807         12.424         17.887
         -2.717         -0.000         -2.717        -15.624        -12.583         -7.310         -2.755          3.502          8.808         12.418         17.892
         -2.712         -0.000         -2.712        -15.627        -12.577         -7.312         -2.758          3.507          8.810         12.411         17.897
         -2.707         -0.000         -2.707        -15.630        -12.571         -7.313         -2.760          3.511          8.811         12.404         17.902
         -2.702         -0.000         -2.702        -15.633        -12.566         -7.314         -2.763          3.515          8.812         12.397         17.907
         -2.697         -0.000         -2.697        -15.636        -12.560         -7.315         -2.766          3.520          8.813         12.391         17.912
         -2.691         -0.000         -2.691        -15.639        -12.554         -7.316         -2.769          3.524          8.814         12.384         17.918
         -2.686         -0.000         -2.686        -15.642        -12.548         -7.317         -2.772          3.529          8.816         12.377         17.923
         -2.681         -0.000         -2.681        -15.645        -12.542         -7.318         -2.774          3.533          8.817         12.370         17.928
         -2.676         -0.000         -2.676        -15.648        -12.536         -7.319         -2.777          3.538          8.818         12.363         17.933
         -2.670         -0.000         -2.670        -15.651        -12.530         -7.320         -2.780          3.543          8.820         12.356         17.938
         -2.665         -0.000         -2.665        -15.654        -12.523         -7.321         -2.784          3.548          8.821         12.348         17.944
         -2.660         -0.000         -2.660        -15.658        -12.517         -7.322         -2.787          3.553          8.822         12.341         17.949
         -2.655         -0.000         -2.655        -15.661        -12.510         -7.323         -2.790          3.558          8.823         12.334         17.954
         -2.649         -0.000         -2.649        -15.664        -12.504         -7.324         -2.793          3.564          8.825         12.327         17.959
         -2.644         -0.000         -2.644        -15.668        -12.497         -7.325         -2.796          3.569          8.826         12.319         17.965
         -2.639         -0.000         -2.639        -15.671        -12.490         -7.326         -2.800          3.575          8.827         12.312         17.970
         -2.634         -0.000         -2.634        -15.675        -12.484         -7.327         -2.803          3.580          8.829         12.304         17.975
         -2.628         -0.000         -2.628        -15.678        -12.477         -7.328         -2.807          3.586          8.830         12.297         17.980
         -2.623         -0.000         -2.623        -15.682        -12.470         -7.329         -2.810          3.592          8.831         12.289         17.986
         -2.618         -0.000         -2.618        -15.685        -12.463         -7.329         -2.814          3.597          8.833         12.282         17.991
         -2.613         -0.000         -2.613        -15.689        -12.455         -7.330         -2.817          3.603          8.834         12.274         17.996
         -2.608         -0.000         -2.608        -15.693        -12.448         -7.331         -2.821          3.609          8.835         12.266         18.002
         -2.602         -0.000         -2.602        -15.696        -12.441         -7.332         -2.825          3.616          8.837         12.259         18.007
         -2.597         -0.000         -2.597        -15.700        -12.433         -7.333         -2.829          3.622          8.838         12.251         18.012
         -2.592         -0.000         -2.592        -15.704        -12.426         -7.334         -2.832          3.628          8.839         12.243         18.017
         -2.587         -0.000         -2.587        -15.708        -12.418         -7.335         -2.836          3.634          8.841         12.235         18.023
         -2.581         -0.000         -2.581        -15.712        -12.411         -7.336         -2.840          3.641          8.842         12.227         18.028
         -2.576         -0.000         -2.576        -15.715        -12.403         -7.337         -2.844          3.647          8.843         12.219         18.033
         -2.571         -0.000         -2.571        -15.719        -12.395         -7.337         -2.848          3.654          8.845         12.211         18.039
         -2.566         -0.000         -2.566        -15.723        -12.388         -7.338         -2.852          3.661          8.846         12.203         18.044
         -2.560         -0.000         -2.560        -15.727        -12.380         -7.339         -2.857          3.668          8.848         12.195         18.049
         -2.555         -0.000         -2.555        -15.731        -12.372         -7.340         -2.861          3.675          8.849         12.187         18.055
         -2.550         -0.000         -2.550        -15.735        -12.364         -7.341         -2.865          3.682          8.850         12.179         18.060
         -2.545         -0.000         -2.545        -15.739        -12.355         -7.341         -2.869          3.689          8.852         12.170         18.065
         -2.539         -0.000         -2.539        -15.743        -12.347         -7.342         -2.874          3.696          8.853         12.162         18.071
         -2.534         -0.000         -2.534        -15.748        -12.339         -7.343         -2.878          3.703          8.855         12.154         18.076
         -2.529         -0.000         -2.529        -15.752        -12.331         -7.344         -2.882          3.710          8.856         12.145         18.081
         -2.524         -0.000         -2.524        -15.756        -12.322         -7.345         -2.887          3.718          8.857         12.137         18.087
         -2.519         -0.000         -2.519        -15.760        -12.314         -7.345         -2.891          3.725          8.859         12.128         18.092
         -2.513         -0.000         -2.513        -15.764        -12.305         -7.346         -2.896          3.733          8.860         12.120         18.097
         -2.508         -0.000         -2.508        -15.769        -12.297         -7.347         -2.900          3.740          8.862         12.111         18.103
         -2.503         -0.000         -2.503        -15.773        -12.288         -7.348         -2.905          3.748          8.863         12.103         18.108
         -2.498         -0.000         -2.498        -15.777        -12.279         -7.348         -2.910          3.756          8.865         12.094         18.113
         -2.492         -0.000         -2.492        -15.782        -12.271         -7.349         -2.915          3.764          8.866         12.086         18.119
         -2.487         -0.000         -2.487        -15.786        -12.262         -7.350         -2.919          3.772          8.868         12.077         18.124
         -2.482         -0.000         -2.482        -15.790        -12.253         -7.350         -2.924          3.780          8.869         12.068         18.129
         -2.477         -0.000         -2.477        -15.795        -12.244         -7.351         -2.929          3.788          8.871         12.059         18.135
         -2.471         -0.000         -2.471        -15.799        -12.235         -7.352         -2.934          3.796          8.872         12.051         18.140
         -2.466         -0.000         -2.466        -15.803        -12.226         -7.352         -2.939          3.804          8.873         12.042         18.145
         -2.461         -0.000         -2.461        -15.808        -12.217         -7.353         -2.944          3.813          8.875         12.033         18.151
         -2.456         -0.000         -2.456        -15.812        -12.207         -7.354         -2.949          3.821          8.876         12.024         18.156
         -2.450         -0.000         -2.450        -15.817        -12.198         -7.354         -2.954          3.830          8.878         12.015         18.161
         -2.445         -0.000         -2.445        -15.821        -12.189         -7.355         -2.959          3.838          8.879         12.006         18.167
         -2.440         -0.000         -2.440        -15.826        -12.180         -7.356         -2.964          3.847          8.881         11.997         18.172
         -2.435         -0.000         -2.435        -15.831        -12.170         -7.356         -2.969          3.855          8.882         11.988         18.177
         -2.429         -0.000         -2.429        -15.835        -12.161         -7.357         -2.974          3.864          8.884         11.979         18.183
         -2.424         -0.000         -2.424        -15.840        -12.151         -7.357         -2.980          3.873          8.886         11.970         18.188
         -2.419         -0.000         -2.419        -15.844        -12.142         -7.358         -2.985          3.882          8.887         11.961         18.193
         -2.414         -0.000         -2.414        -15.849        -12.132         -7.359         -2.990          3.891          8.889         11.951         18.199
