              k             kx             ky
          0.435          0.377          0.218        -16.860         -9.453         -6.996         -4.490          6.883          8.884          9.676         19.228
          0.443          0.384          0.222        -16.813         -9.594         -7.066         -4.406          6.688          8.972          9.746         19.171
          0.451          0.391          0.225        -16.765         -9.733         -7.135         -4.322          6.494          9.058          9.809         19.125
          0.459          0.397          0.229        -16.715         -9.871         -7.203         -4.235          6.301          9.141          9.866         19.089
          0.467          0.404          0.233        -16.665        -10.008         -7.270         -4.148          6.109          9.221          9.917         19.062
          0.474          0.411          0.237        -16.613        -10.144         -7.336         -4.059          5.918          9.299          9.962         19.046
          0.482          0.418          0.241        -16.561        -10.278         -7.400         -3.969          5.729          9.373         10.000         19.039
          0.490          0.424          0.245        -16.507        -10.411         -7.464         -3.877          5.540          9.444         10.033         19.041
          0.498          0.431          0.249        -16.452        -10.543         -7.526         -3.784          5.353          9.513         10.061         19.052
          0.505          0.438          0.253        -16.396        -10.674         -7.587         -3.690          5.167          9.578         10.083         19.071
          0.513          0.444          0.257        -16.339        -10.803         -7.647         -3.595          4.982          9.641         10.101         19.097
          0.521          0.451          0.260        -16.280        -10.930         -7.705         -3.499          4.799          9.700         10.114         19.130
          0.529          0.458          0.264        -16.221        -11.056         -7.763         -3.402          4.618          9.756         10.123         19.169
          0.537          0.465          0.268        -16.161        -11.180         -7.819         -3.303          4.438          9.810         10.128         19.214
          0.544          0.471          0.272        -16.099        -11.303         -7.874         -3.203          4.260          9.860         10.131         19.264
          0.552          0.478          0.276        -16.037        -11.424         -7.927         -3.102          4.083          9.907         10.130         19.318
          0.560          0.485          0.280        -15.973        -11.543         -7.979         -3.001          3.909          9.952         10.127         19.376
          0.568          0.492          0.284        -15.909        -11.661         -8.030         -2.898          3.736          9.993         10.123         19.437
          0.575          0.498          0.288        -15.843        -11.776         -8.080         -2.794          3.565         10.032         10.116         19.501
          0.583          0.505          0.292        -15.777        -11.891         -8.128         -2.689          3.396         10.067         10.108         19.567
          0.591          0.512          0.295        -15.710        -12.003         -8.174         -2.583          3.229         10.100         10.100         19.634
          0.599          0.519          0.299        -15.642        -12.113         -8.219         -2.477          3.064         10.090         10.129         19.703
          0.607          0.525          0.303        -15.573        -12.222         -8.263         -2.369          2.902         10.080         10.156         19.771
          0.614          0.532          0.307        -15.504        -12.328         -8.305         -2.261          2.741         10.071         10.180         19.840
          0.622          0.539          0.311        -15.433        -12.433         -8.346         -2.152          2.582         10.061         10.201         19.908
          0.630          0.545          0.315        -15.362        -12.536         -8.384         -2.042          2.426         10.052         10.219         19.976
          0.638          0.552          0.319        -15.291        -12.637         -8.422         -1.932          2.272         10.043         10.235         20.041
          0.645          0.559          0.323        -15.219        -12.736         -8.457         -1.821          2.120         10.036         10.248         20.106
          0.653          0.566          0.327        -15.146        -12.833         -8.491         -1.709          1.970         10.029         10.259         20.168
          0.661          0.572          0.330        -15.074        -12.929         -8.523         -1.597          1.822         10.024         10.266         20.227
          0.669          0.579          0.334        -15.000        -13.022         -8.553         -1.484          1.677         10.020         10.272         20.284
          0.676          0.586          0.338        -14.927        -13.113         -8.582         -1.371          1.534         10.017         10.274         20.338
          0.684          0.593          0.342        -14.853        -13.203         -8.608         -1.257          1.393         10.016         10.275         20.389
          0.692          0.599          0.346        -14.780        -13.291         -8.633         -1.144          1.255         10.017         10.273         20.436
          0.700          0.606          0.350        -14.706        -13.376         -8.655         -1.029          1.119         10.019         10.268         20.479
          0.708          0.613          0.354        -14.633        -13.460         -8.675         -0.915          0.985         10.024         10.262         20.519
          0.715          0.620          0.358        -14.560        -13.542         -8.693         -0.801          0.853         10.030         10.253         20.554
          0.723          0.626          0.362        -14.487        -13.622         -8.709         -0.686          0.724         10.039         10.242         20.585
          0.731          0.633          0.365        -14.414        -13.700         -8.723         -0.571          0.598         10.049         10.229         20.611
          0.739          0.640          0.369        -14.342        -13.776         -8.734         -0.457          0.473         10.062         10.214         20.633
          0.746          0.646          0.373        -14.271        -13.851         -8.743         -0.342          0.352         10.077         10.197         20.650
          0.754          0.653          0.377        -14.201        -13.923         -8.749         -0.228          0.232         10.095         10.179         20.662
          0.762          0.660          0.381        -14.131        -13.994         -8.753         -0.114          0.115         10.114         10.158         20.670
          0.770          0.667          0.385        -14.063        -14.063         -8.754         -0.000          0.000         10.136         10.136         20.672
          0.774          0.667          0.381        -14.096        -14.029         -8.754         -0.056          0.056         10.124         10.148         20.672
          0.777          0.667          0.377        -14.129        -13.996         -8.753         -0.111          0.112         10.112         10.160         20.670
          0.781          0.667          0.373        -14.162        -13.963         -8.752         -0.166          0.168         10.100         10.173         20.667
          0.785          0.667          0.370        -14.194        -13.931         -8.749         -0.220          0.224         10.087         10.186         20.662
          0.789          0.667          0.366        -14.225        -13.898         -8.746         -0.274          0.280         10.074         10.200         20.657
          0.793          0.667          0.362        -14.257        -13.866         -8.743         -0.327          0.335         10.061         10.215         20.650
          0.797          0.667          0.358        -14.287        -13.835         -8.738         -0.379          0.391         10.047         10.230         20.642
          0.801          0.667          0.354        -14.318        -13.804         -8.734         -0.431          0.446         10.033         10.246         20.633
          0.804          0.667          0.350        -14.348        -13.773         -8.728         -0.482          0.501         10.018         10.262         20.623
          0.808          0.667          0.346        -14.377        -13.742         -8.722         -0.533          0.556         10.003         10.279         20.611
          0.812          0.667          0.343        -14.406        -13.713         -8.715         -0.583          0.611          9.988         10.297         20.598
          0.816          0.667          0.339        -14.435        -13.683         -8.707         -0.633          0.665          9.973         10.315         20.584
          0.820          0.667          0.335        -14.463        -13.654         -8.699         -0.682          0.720          9.957         10.334         20.569
          0.824          0.667          0.331        -14.491        -13.625         -8.690         -0.730          0.774          9.941         10.353         20.552
          0.828          0.667          0.327        -14.519        -13.597         -8.680         -0.778          0.827          9.925         10.373         20.535
          0.831          0.667          0.323        -14.546        -13.569         -8.670         -0.825          0.881          9.908         10.393         20.516
          0.835          0.667          0.319        -14.572        -13.542         -8.659         -0.871          0.934          9.891         10.414         20.496
          0.839          0.667          0.316        -14.599        -13.515         -8.647         -0.917          0.988          9.874         10.436         20.475
