              k             kx             ky
          0.874          0.667          0.281         -1.272          1.427
          0.878          0.667          0.277         -1.311          1.476
          0.881          0.667          0.273         -1.350          1.525
          0.885          0.667          0.269         -1.388          1.574
          0.889          0.667          0.266         -1.425          1.622
          0.893          0.667          0.262         -1.462          1.670
          0.897          0.667          0.258         -1.498          1.717
          0.901          0.667          0.254         -1.534          1.764
          0.905          0.667          0.250         -1.569          1.811
          0.908          0.667          0.246         -1.604          1.857
          0.912          0.667          0.242         -1.637          1.903
          0.916          0.667          0.239         -1.671          1.948
          0.920          0.667          0.235         -1.704          1.993
          0.924          0.667          0.231         -1.736          2.037
          0.928          0.667          0.227         -1.768          2.081
          0.931          0.667          0.223         -1.799          2.124
          0.935          0.667          0.219         -1.830          2.167
          0.939          0.667          0.216         -1.860          2.209
          0.943          0.667          0.212         -1.889          2.251
          0.947          0.667          0.208         -1.918          2.292
          0.951          0.667          0.204         -1.947          2.333
          0.955          0.667          0.200         -1.975          2.373
          0.958          0.667          0.196         -2.002          2.413
          0.962          0.667          0.192         -2.029          2.452
          0.966          0.667          0.189         -2.055          2.490
          0.970          0.667          0.185         -2.081          2.528
          0.974          0.667          0.181         -2.106          2.565
          0.978          0.667          0.177         -2.130          2.602
          0.981          0.667          0.173         -2.155          2.638
          0.985          0.667          0.169         -2.178          2.673
          0.989          0.667          0.166         -2.201          2.708
          0.993          0.667          0.162         -2.223          2.742
          0.997          0.667          0.158         -2.245          2.775
          1.001          0.667          0.154         -2.267          2.808
          1.005          0.667          0.150         -2.288          2.840
          1.008          0.667          0.146         -2.308          2.872
          1.012          0.667          0.142         -2.328          2.902
          1.016          0.667          0.139         -2.347          2.932
          1.020          0.667          0.135         -2.365          2.961
          1.024          0.667          0.131         -2.384          2.990
          1.028          0.667          0.127         -2.401          3.018
          1.032          0.667          0.123         -2.418          3.045
          1.035          0.667          0.119         -2.435          3.071
          1.039          0.667          0.115         -2.451          3.096
          1.043          0.667          0.112         -2.466          3.121
          1.047          0.667          0.108         -2.481          3.145
          1.051          0.667          0.104         -2.496          3.168
          1.055          0.667          0.100         -2.510          3.191
          1.058          0.667          0.096         -2.523          3.212
          1.062          0.667          0.092         -2.536          3.233
          1.066          0.667          0.089         -2.548          3.253
          1.070          0.667          0.085         -2.560          3.273
          1.074          0.667          0.081         -2.571          3.291
          1.078          0.667          0.077         -2.582          3.309
          1.082          0.667          0.073         -2.592          3.325
          1.085          0.667          0.069         -2.602          3.341
          1.089          0.667          0.065         -2.611          3.356
          1.093          0.667          0.062         -2.620          3.371
          1.097          0.667          0.058         -2.628          3.384
          1.101          0.667          0.054         -2.635          3.397
          1.105          0.667          0.050         -2.642          3.408
          1.109          0.667          0.046         -2.649          3.419
          1.112          0.667          0.042         -2.655          3.429
          1.116          0.667          0.038         -2.660          3.438
          1.120          0.667          0.035         -2.665          3.447
          1.124          0.667          0.031         -2.670          3.454
          1.128          0.667          0.027         -2.674          3.461
          1.132          0.667          0.023         -2.677          3.466
          1.135          0.667          0.019         -2.680          3.471
          1.139          0.667          0.015         -2.682          3.475
          1.143          0.667          0.012         -2.684          3.478
          1.147          0.667          0.008         -2.685          3.480
          1.151          0.667          0.004         -2.686          3.482
          1.155          0.667          0.000         -2.686          3.482
          1.161          0.660          0.000         -2.689          3.486
          1.168          0.653          0.000         -2.696          3.498
          1.175          0.647          0.000         -2.707          3.518
          1.181          0.640          0.000         -2.724          3.545
