             kx             ky    energy_plus   energy_minus
         -0.980          0.253         -4.350          6.905
         -0.980          0.273         -4.231          6.609
         -0.980          0.293         -4.105          6.306
         -0.980          0.313         -3.973          6.000
         -0.980          0.333         -3.836          5.695
         -0.980          0.354         -3.696          5.392
         -0.980          0.374         -3.555          5.096
         -0.980          0.394         -3.414          4.811
         -0.980          0.414         -3.276          4.541
         -0.980          0.434         -3.143          4.291
         -0.980          0.455         -3.020          4.064
         -0.980          0.475         -2.910          3.867
         -0.980          0.495         -2.817          3.704
         -0.980          0.515         -2.744          3.580
         -0.980          0.535         -2.697          3.499
         -0.980          0.556         -2.676          3.465
         -0.980          0.576         -2.685          3.479
         -0.980          0.596         -2.721          3.541
         -0.980          0.616         -2.784          3.649
         -0.980          0.636         -2.871          3.799
         -0.980          0.657         -2.978          3.989
         -0.980          0.677         -3.101          4.212
         -0.980          0.697         -3.236          4.465
         -0.980          0.717         -3.379          4.742
         -0.980          0.737         -3.527          5.039
         -0.980          0.758         -3.678          5.352
         -0.980          0.778         -3.828          5.677
         -0.980          0.798         -3.977          6.011
         -0.980          0.818         -4.123          6.349
         -0.980          0.838         -4.263          6.689
         -0.980          0.859         -4.398          7.028
         -0.980          0.879         -4.527          7.362
         -0.980          0.899         -4.648          7.688
         -0.980          0.919         -4.762          8.003
         -0.980          0.939         -4.867          8.305
         -0.980          0.960         -4.963          8.590
         -0.980          0.980         -5.051          8.856
         -0.980          1.000         -5.130          9.100
  
         -0.960         -1.000         -5.273          9.562
         -0.960         -0.980         -5.195          9.308
         -0.960         -0.960         -5.107          9.031
         -0.960         -0.939         -5.011          8.733
         -0.960         -0.919         -4.906          8.419
         -0.960         -0.899         -4.792          8.090
         -0.960         -0.879         -4.670          7.749
         -0.960         -0.859         -4.541          7.399
         -0.960         -0.838         -4.405          7.044
         -0.960         -0.818         -4.262          6.687
         -0.960         -0.798         -4.115          6.330
         -0.960         -0.778         -3.962          5.977
         -0.960         -0.758         -3.807          5.631
         -0.960         -0.737         -3.651          5.296
         -0.960         -0.717         -3.495          4.975
         -0.960         -0.697         -3.343          4.671
         -0.960         -0.677         -3.197          4.390
         -0.960         -0.657         -3.060          4.136
         -0.960         -0.636         -2.936          3.913
         -0.960         -0.616         -2.829          3.725
         -0.960         -0.596         -2.743          3.578
         -0.960         -0.576         -2.683          3.476
         -0.960         -0.556         -2.649          3.420
         -0.960         -0.535         -2.645          3.413
         -0.960         -0.515         -2.670          3.454
         -0.960         -0.495         -2.721          3.541
         -0.960         -0.475         -2.796          3.669
         -0.960         -0.455         -2.892          3.835
         -0.960         -0.434         -3.003          4.033
         -0.960         -0.414         -3.126          4.258
         -0.960         -0.394         -3.257          4.505
         -0.960         -0.374         -3.393          4.769
         -0.960         -0.354         -3.530          5.045
         -0.960         -0.333         -3.667          5.330
         -0.960         -0.313         -3.802          5.619
         -0.960         -0.293         -3.933          5.910
         -0.960         -0.273         -4.058          6.198
         -0.960         -0.253         -4.178          6.481
         -0.960         -0.232         -4.290          6.755
         -0.960         -0.212         -4.394          7.017
         -0.960         -0.192         -4.490          7.266
         -0.960         -0.172         -4.578          7.497
         -0.960         -0.152         -4.656          7.710
         -0.960         -0.131         -4.725          7.901
         -0.960         -0.111         -4.785          8.069
         -0.960         -0.091         -4.834          8.211
         -0.960         -0.071         -4.874          8.327
         -0.960         -0.051         -4.905          8.416
         -0.960         -0.030         -4.925          8.475
         -0.960         -0.010         -4.935          8.505
         -0.960          0.010         -4.935          8.505
         -0.960          0.030         -4.925          8.475
         -0.960          0.051         -4.905          8.416
         -0.960          0.071         -4.874          8.327
         -0.960          0.091         -4.834          8.211
         -0.960          0.111         -4.785          8.069
         -0.960          0.131         -4.725          7.901
         -0.960          0.152         -4.656          7.710
         -0.960          0.172         -4.578          7.497
         -0.960          0.192         -4.490          7.266
         -0.960          0.212         -4.394          7.017
         -0.960          0.232         -4.290          6.755
         -0.960          0.253         -4.178          6.481
         -0.960          0.273         -4.058          6.198
         -0.960          0.293         -3.933          5.910
         -0.960          0.313         -3.802          5.619
         -0.960          0.333         -3.667          5.330
         -0.960          0.354         -3.530          5.045
         -0.960          0.374         -3.393          4.769
         -0.960          0.394         -3.257          4.505
         -0.960          0.414         -3.126          4.258
         -0.960          0.434         -3.003          4.033
         -0.960          0.455         -2.892          3.835
         -0.960          0.475         -2.796          3.669
         -0.960          0.495         -2.721          3.541
         -0.960          0.515         -2.670          3.454
         -0.960          0.535         -2.645          3.413
         -0.960          0.556         -2.649          3.420
         -0.960          0.576         -2.683          3.476
         -0.960          0.596         -2.743          3.578
         -0.960          0.616         -2.829          3.725
         -0.960          0.636         -2.936          3.913
         -0.960          0.657         -3.060          4.136
         -0.960          0.677         -3.197          4.390
         -0.960          0.697         -3.343          4.671
         -0.960          0.717         -3.495          4.975
         -0.960          0.737         -3.651          5.296
         -0.960          0.758         -3.807          5.631
         -0.960          0.778         -3.962          5.977
         -0.960          0.798         -4.115          6.330
         -0.960          0.818         -4.262          6.687
         -0.960          0.838         -4.405          7.044
         -0.960          0.859         -4.541          7.399
         -0.960          0.879         -4.670          7.749
         -0.960          0.899         -4.792          8.090
         -0.960          0.919         -4.906          8.419
         -0.960          0.939         -5.011          8.733
         -0.960          0.960         -5.107          9.031
         -0.960          0.980         -5.195          9.308
         -0.960          1.000         -5.273          9.562
  
         -0.939         -1.000         -5.407         10.013
         -0.939         -0.980         -5.329          9.748
         -0.939         -0.960         -5.242          9.460
         -0.939         -0.939         -5.145          9.150
         -0.939         -0.919         -5.040          8.823
         -0.939         -0.899         -4.926          8.480
         -0.939         -0.879         -4.804          8.124
         -0.939         -0.859         -4.674          7.759
         -0.939         -0.838         -4.537          7.388
         -0.939         -0.818         -4.393          7.013
         -0.939         -0.798         -4.242          6.638
         -0.939         -0.778         -4.087          6.266
         -0.939         -0.758         -3.928          5.899
         -0.939         -0.737         -3.767          5.542
         -0.939         -0.717         -3.604          5.198
         -0.939         -0.697         -3.443          4.870
         -0.939         -0.677         -3.286          4.562
         -0.939         -0.657         -3.136          4.278
         -0.939         -0.636         -2.997          4.022
         -0.939         -0.616         -2.872          3.800
         -0.939         -0.596         -2.765          3.615
         -0.939         -0.576         -2.681          3.473
         -0.939         -0.556         -2.623          3.376
         -0.939         -0.535         -2.593          3.327
         -0.939         -0.515         -2.593          3.327
         -0.939         -0.495         -2.623          3.376
         -0.939         -0.475         -2.678          3.469
         -0.939         -0.455         -2.757          3.602
         -0.939         -0.434         -2.855          3.771
         -0.939         -0.414         -2.968          3.970
         -0.939         -0.394         -3.091          4.194
         -0.939         -0.374         -3.221          4.436
         -0.939         -0.354         -3.354          4.694
         -0.939         -0.333         -3.489          4.961
         -0.939         -0.313         -3.622          5.234
         -0.939         -0.293         -3.752          5.510
         -0.939         -0.273         -3.877          5.784
         -0.939         -0.253         -3.996          6.054
         -0.939         -0.232         -4.109          6.316
         -0.939         -0.212         -4.214          6.568
         -0.939         -0.192         -4.310          6.806
         -0.939         -0.172         -4.398          7.028
         -0.939         -0.152         -4.478          7.232
         -0.939         -0.131         -4.547          7.416
         -0.939         -0.111         -4.607          7.577
         -0.939         -0.091         -4.658          7.714
         -0.939         -0.071         -4.698          7.826
         -0.939         -0.051         -4.729          7.911
         -0.939         -0.030         -4.749          7.968
         -0.939         -0.010         -4.759          7.996
         -0.939          0.010         -4.759          7.996
         -0.939          0.030         -4.749          7.968
         -0.939          0.051         -4.729          7.911
         -0.939          0.071         -4.698          7.826
         -0.939          0.091         -4.658          7.714
         -0.939          0.111         -4.607          7.577
         -0.939          0.131         -4.547          7.416
         -0.939          0.152         -4.478          7.232
         -0.939          0.172         -4.398          7.028
         -0.939          0.192         -4.310          6.806
         -0.939          0.212         -4.214          6.568
         -0.939          0.232         -4.109          6.316
         -0.939          0.253         -3.996          6.054
         -0.939          0.273         -3.877          5.784
         -0.939          0.293         -3.752          5.510
         -0.939          0.313         -3.622          5.234
         -0.939          0.333         -3.489          4.961
         -0.939          0.354         -3.354          4.694
